_ - id,_ - url,_ - rank,_ - city,_ - ifmid,_ - ifiid,_ - growth,_ - workers,_ - company,_ - website,_ - state_l,_ - state_s,_ - revenue,_ - zipcode,_ - founded,_ - industry,_ - latitude,_ - metrocode,_ - longitude,_ - yrs_on_list,_ - previous_workers,_ - metro,_ - partner_lists - partner_lists
37232,deca-dental-group,2569,Dallas,8,10,165.7297,680,DECA Dental Group,decadental.com,Texas,TX,77083944,75251,2008,Health,32.91979,"Dallas-Fort Worth-Arlington, TX",-96.77095,3,260,Dallas,
88582,erben-associates,2570,Austin,18,2,165.5869,10,Erben Associates,erbenassociates.com,Texas,TX,4296245,78746,1993,Financial Services,30.29687,"Austin-Round Rock, TX",-97.80958,1,7,Austin,Vistage
76001,kuykendall-solar,2571,Coarsgegold,942,16,165.4985,45,Kuykendall Solar,kuykendallsolar.com,California,CA,15915744,93614,2010,Energy,37.20982,"Madera, CA",-119.7498,2,22,,
36815,franchisehelp,2572,New York City,9,17,165.3064,8,FranchiseHelp,franchisehelp.com,New York,NY,5371771,10012,2010,Business Products & Services,40.72558,"New York-Newark-Jersey City, NY-NJ-PA",-73.99808,4,5,New York City,
26045,gadberry-construction-company,2573,Dallas,8,20,165.278,22,Gadberry Construction Company,gccorp.net,Texas,TX,23555252,75207,2001,Construction,32.7868,"Dallas-Fort Worth-Arlington, TX",-96.81997,5,8,Dallas,Vistage
546,unison-systems,2574,Greenwood Village,30,29,165.2086,250,Unison Systems,unisonsystems.com,Colorado,CO,34262688,80111,1997,IT System Development,39.61301,"Denver-Aurora-Lakewood, CO",-104.87796,3,120,Denver,
78546,martinfederal,2575,Huntsville,69,7,165.1509,81,MartinFederal,martinfed.com,Alabama,AL,8143283,35801,2007,Government Services,34.72527,"Huntsville, AL",-86.56087,2,38,"Huntsville, AL",
26401,the-service-fort,2576,Atlanta,29,17,164.9976,115,The Service Fort,theservicefort.com,Georgia,GA,10215126,30342,2004,Business Products & Services,33.88218,"Atlanta-Sandy Springs-Roswell, GA",-84.37529,4,33,Atlanta,Vistage
21911,southend-exteriors,2577,Charlotte,43,20,164.9925,85,SouthEnd Exteriors,southendexteriors.com,North Carolina,NC,63297501,28273,2007,Construction,35.12736,"Charlotte-Concord-Gastonia, NC-SC",-80.94685,6,32,Charlotte,
88583,palmetto-construction-services,2578,Columbus,19,20,164.8936,95,Palmetto Construction Services,palmettobuilds.com,Ohio,OH,21523279,43222,2010,Construction,39.96119,"Columbus, OH",-83.03548,1,20,"Columbus, OH",
88584,team-fitz-graphics,2579,Cincinnati,47,15,164.8842,20,Team Fitz Graphics,teamfitzgraphics.com,Ohio,OH,2653014,45241,2008,Manufacturing,39.27636,"Cincinnati, OH-KY-IN",-84.39711,1,10,Cincinnati,
25249,mckee-homes,2580,Fayetteville,36,20,164.835,53,McKee Homes,mckeehomesnc.com,North Carolina,NC,58784226,27606,2010,Construction,35.74232,"Raleigh-Cary, NC",-78.71548,5,15,"Raleigh, NC",
37004,carlson-management-consulting,2581,Woburn,6,28,164.8306,34,Carlson Management Consulting,carlsonmc.com,Massachusetts,MA,5635738,1801,2010,IT Management,42.48877,"Boston-Cambridge-Newton, MA-NH",-71.15444,4,10,Boston,
25148,bellows-plumbing-heating-air,2582,Soquel,42,20,164.8076,97,"Bellows Plumbing, Heating & Air",bellowsservice.com,California,CA,10717247,95073,2004,Construction,37.04225,"Santa Cruz-Watsonville, CA",-121.93005,5,42,,
36918,s2-it-group,2583,Alpharetta,29,9,164.6729,62,S2 IT Group,s2itgroup.com,Georgia,GA,6111707,30005,2009,Software,34.08904,"Atlanta-Sandy Springs-Roswell, GA",-84.2171,4,24,Atlanta,
88585,itinspired,2584,Baton Rouge,139,28,164.5841,11,ITinspired,itinspired.com,Louisiana,LA,2180996,70835,2012,IT Management,30.43999,"Baton Rouge, LA",-91.11977,1,4,"Baton Rouge, LA",
36754,boa-logistics,2585,Culver City,2,6,164.4725,25,Boa Logistics,boalogistics.com,California,CA,17196000,90230,2011,Logistics & Transportation,33.99786,"Los Angeles-Long Beach-Anaheim, CA",-118.39362,4,8,Los Angeles,
18579,kobie-marketing,2586,St Petersburg,7,5,164.4468,461,Kobie Marketing,kobie.com,Florida,FL,70292275,33701,1990,Advertising & Marketing,27.77079,"Tampa-St. Petersburg-Clearwater, FL",-82.63281,8,149,Tampa,
67901,kirsch-transportation,2587,Council Bluffs,97,6,164.3804,50,Kirsch Transportation,kirschtrans.com,Iowa,IA,63044841,51503,2001,Logistics & Transportation,41.22322,"Omaha-Council Bluffs, NE-IA",-95.78448,2,31,"Omaha-Council Bluffs, NE-IA",
74611,best-practice-energy,2588,Wakefield,55,16,164.2699,22,Best Practice Energy,bestpracticeenergy.com,Rhode Island,RI,3159732,2879,2010,Energy,41.42402,"Providence-New Bedford-Fall River, RI-MA",-71.53428,2,4,,
88586,dma-custom-millwork,2589,Atlanta,29,20,164.1958,90,DMA Custom Millwork,dmamillwork.com,Georgia,GA,16644335,30336,1993,Construction,33.73837,"Atlanta-Sandy Springs-Roswell, GA",-84.56754,1,20,Atlanta,
88587,dune-jewelry,2590,Hyde Park,6,15,164.1956,26,Dune Jewelry,dunejewelry.com,Massachusetts,MA,3350000,2136,2010,Manufacturing,42.25508,"Boston-Cambridge-Newton, MA-NH",-71.12922,1,6,Boston,Vistage
24946,connexion-point,2591,Sandy,12,10,164.1093,998,Connexion Point,connexionpoint.com,Utah,UT,61262790,84070,2010,Health,40.5771,"Salt Lake City, UT",-111.88905,5,250,Salt Lake City,
