_ - rank,Profile,name,url,state,_ - revenue,_ - growth,_ - industry,_ - workers,_ - founded,_ - yrs_on_list,_ - previous_workers,_ - metro,city
204,https://www.inc.com/profile/silverline-home-remodeling,Silverline Home Remodeling,silverlinebuilder.com,CA,2200000,1996.5182,Construction,5,2014,1,1,Los Angeles,Canoga Park
266,https://www.inc.com/profile/patientbond,PatientBond,patientbond.com,IL,2200000,1648.4583,IT System Development,16,2011,1,1,Chicago,Elmhurst
295,https://www.inc.com/profile/privateer-it,Privateer IT,privateerit.com,FL,2200000,1514.6812,IT Management,22,2014,1,3,,Melbourne
336,https://www.inc.com/profile/liberty-rent-guarantee,Liberty Rent Guarantee,libertyrent.com,AL,2200000,1386.454,Real Estate,12,2014,1,4,,Fairhope
341,https://www.inc.com/profile/bidwise,Bidwise,http://bidwise.com,PR,2200000,1354.314,Advertising & Marketing,7,2015,1,4,,San Juan
495,https://www.inc.com/profile/acacia-counseling-wellness,Acacia Counseling & Wellness,acaciacw.com,CA,2200000,889.6434,Health,37,2014,1,2,,Goleta
513,https://www.inc.com/profile/social-sparkling-wine,Social Sparkling Wine,http://socialsparklingwine.com,IL,2200000,852.856,Consumer Products & Services,9,2013,1,1,Chicago,Chicago
531,https://www.inc.com/profile/sprout-school-supplies,Sprout School Supplies,sproutsupplies.com,VA,2200000,823.9295,Retail,12,2014,1,2,,Colonial Beach
557,https://www.inc.com/profile/positivepsychebiz-corp,PositivePsyche.Biz Corp,positivepsyche.biz,MD,2200000,797.3351,IT Management,72,2008,1,2,Baltimore,Baltimore
613,https://www.inc.com/profile/interim-healthcare,Interim HealthCare,http://interimslc.com,UT,2200000,722.2024,Health,69,2014,1,18,Salt Lake City,Salt Lake City
635,https://www.inc.com/profile/zolli-candy,Zolli Candy,zollicandy.com,MI,2200000,696.4988,Food & Beverage,10,2013,1,1,Detroit,Commerce Twp
658,https://www.inc.com/profile/sh-mechanical,SH Mechanical,shmechanicalinc.com,CA,2200000,667.809,Construction,7,2009,1,2,,Suisun City
696,https://www.inc.com/profile/talent-solvers,Talent Solvers,talentsolvers.com,CO,2200000,625.7839,Human Resources,15,2014,1,3,Denver,Lakewood
715,https://www.inc.com/profile/gather-workspaces,Gather Workspaces,workatgather.com,VA,2200000,613.1076,Business Products & Services,9,2014,1,1,"Richmond, VA",Richmond
736,https://www.inc.com/profile/100%-chiropractic,100% Chiropractic,100percentchiropractic.com,CA,2200000,592.2872,Health,10,2004,1,6,San Diego,Rancho Santa Fe
748,https://www.inc.com/profile/garage-champs,Garage Champs,garagechamps.com,CA,2200000,583.9346,Advertising & Marketing,25,2012,1,6,,Sacramento
765,https://www.inc.com/profile/revived-exteriors,Revived Exteriors,revivedexteriors.com,IL,2200000,567.2527,Construction,10,2011,1,1,Chicago,Arlington Heights
798,https://www.inc.com/profile/the-linked-strategies-group,The Linked Strategies Group,linkedstrategies.com,OH,2200000,537.9205,Advertising & Marketing,20,2011,1,2,,Akron
914,https://www.inc.com/profile/engagedin,EngagedIN,http://engagedin.com,CA,2200000,464.8718,Health,8,2013,2,3,,FELTON
1077,https://www.inc.com/profile/autonomous-media,Autonomous Media,insideunmanned.com,NJ,2200000,388.2266,Media,15,2014,1,2,New York City,Red Bank
1122,https://www.inc.com/profile/foundry-outdoors,Foundry Outdoors,foundryoutdoors.com,NY,2200000,371.031,Retail,6,2015,1,1,New York City,Brooklyn
1137,https://www.inc.com/profile/quiroga-law-office-pllc,Quiroga Law Office,http://quirogalawoffice.com,WA,2200000,367.1438,Government Services,42,2009,1,7,,Spokane Valley
1142,https://www.inc.com/profile/360-risk-partners-insurance-solutions,360 Risk Partners Insurance Solutions,360riskpartners.com,CA,2200000,365.3979,Insurance,5,2012,1,9,,Sacramento
1272,https://www.inc.com/profile/the-social-lights,The Social Lights,thesociallights.com,MN,2200000,324.3616,Advertising & Marketing,25,2011,1,6,Minneapolis,Minneapolis
1369,https://www.inc.com/profile/select-communications,Select Communications,http://selectcommunications.com,TX,2200000,301.415,Telecommunications,10,2014,1,3,Austin,Austin
1374,https://www.inc.com/profile/guaba,Guaba,xo.agency,CA,2200000,300.8358,Advertising & Marketing,18,2014,1,6,Los Angeles,Los Angeles
1604,https://www.inc.com/profile/instinct-dog-behavior-training,Instinct Dog Behavior & Training,http://instinctdogtraining.com,NY,2200000,256.5431,Consumer Products & Services,25,2009,1,10,New York City,New York
1683,https://www.inc.com/profile/digital-brew,Digital Brew,digitalbrew.com,FL,2200000,243.1715,Advertising & Marketing,11,2011,1,7,"Orlando, FL",Orlando
1854,https://www.inc.com/profile/BDI,BDI,http://bdionline.com,NY,2200000,218.2137,Advertising & Marketing,17,2001,1,4,New York City,New York
1911,https://www.inc.com/profile/strategywise,StrategyWise,strategywise.com,AL,2200000,209.612,Business Products & Services,12,2013,2,4,"Birmingham, AL",Birmingham
1938,https://www.inc.com/profile/cpr1,CPR1,aedtotalsolution.com,CA,2200000,206.1712,Health,6,2014,1,3,San Diego,Oceanside
1977,https://www.inc.com/profile/televoips,TeleVoIPs,televoips.com,FL,2200000,203.3384,Telecommunications,16,2014,1,8,Tampa,Brandon
1978,https://www.inc.com/profile/furniture-clinic,Furniture Clinic,furnitureclinic.com,NY,2200000,202.9789,Retail,6,2013,1,3,New York City,Plainview
1997,https://www.inc.com/profile/121-usa,121 USA,121corp.com,MD,2200000,201.1369,Advertising & Marketing,2,2012,1,2,"Washington, DC",Bethesda
2038,https://www.inc.com/profile/rsb-environmental,RSB Environmental,rsbenv.com,TX,2200000,197.2403,Environmental Services,14,2013,1,4,Houston,Houston
2062,https://www.inc.com/profile/doing-good-works,Doing Good Works,doinggoodworks.com,CA,2200000,195.311,Advertising & Marketing,15,2015,1,4,Los Angeles,Santa Ana
2172,https://www.inc.com/profile/yellowstone-health-rehab,Yellowstone Health & Rehab,physicaltherapyinbillings.com,MT,2200000,185.5082,Health,18,1992,1,11,,Billings
2212,https://www.inc.com/profile/contigo-technology,Contigo Technology,contigotechnology.com,TX,2200000,181.9709,IT Management,18,2015,1,8,Austin,Austin
2357,https://www.inc.com/profile/intelpath,Intelpath,intelpath.com,IL,2200000,169.5958,Telecommunications,6,2010,2,3,Chicago,Hinsdale
2395,https://www.inc.com/profile/edlogical-group-corp,Edlogical Group Corp,edlogical.com,CA,2200000,166.7831,Education,48,2011,1,25,Los Angeles,Long Beach
2397,https://www.inc.com/profile/annleo,annLeo,annleo.com,IA,2200000,166.6508,Health,11,2011,2,8,,Milford
