Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
Monsanto,55.147,14.595,2.491,22.687,427,Materials,Specialized Chemicals,North America,United States,Missouri,Missouri,Hugh Grant,http://www.forbes.com/companies/monsanto/,0.109798563,0.170674889,
Cheung Kong Property Holdings,32.125,7.765,3.8657,57.992,428,Financials,Real Estate,Asia,Hong Kong,Hong Kong,,Tzar Li,http://www.forbes.com/companies/cheung-kong-property-holdings/,0.066659194,0.497836446,
Andeavor,21.181,38.636,1.65,28.841,429,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Gregory Goff,http://www.forbes.com/companies/andeavor/,0.057210222,0.042706284,
Erste Group Bank,18.969,10.19,1.5492,282.895,430,Financials,Major Banks,Europe,Austria,Austria,,Andreas Treichl,http://www.forbes.com/companies/erste-group-bank/,0.005476237,0.152031403,
AmerisourceBergen,19.097,159.327,0.9051,38.396,431,Health Care,Pharmaceuticals,North America,United States,Pennsylvania,Pennsylvania,Steven Collis,http://www.forbes.com/companies/amerisourcebergen/,0.023572768,0.00568077,
Vivendi,36.086,14.036,1.384,41.227,431,Telecommunication Services,Telecommunications services,Europe,France,France,,Arnaud de Puyfontaine,http://www.forbes.com/companies/vivendi/,0.033570233,0.098603591,
SEB AB,21.453,8.095,1.9119,346.666,433,Financials,Major Banks,Europe,Sweden,Sweden,,Johan Torgeby,http://www.forbes.com/companies/seb-ab/,0.005515107,0.236182829,
Shin-Etsu Chemical,44.416,13.005,2.4021,27.347,434,Materials,Diversified Chemicals,Asia,Japan,Japan,,Chihiro Kanagawa,http://www.forbes.com/companies/shin-etsu-chemical/,0.087837788,0.184705882,
Toyota Industries,19.985,18.081,1.5174,49.445,435,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,Japan,,Tetsuro Toyoda,http://www.forbes.com/companies/toyota-industries/,0.030688644,0.083922349,
Hana Financial Group,12.972,12.322,1.982,336.359,436,Financials,Regional Banks,Asia,South Korea,South Korea,,Jung-Tai Kim,http://www.forbes.com/companies/hana-financial/,0.005892514,0.160850511,
Bank Of Jiangsu,13.158,12.878,1.8383,285.716,437,Financials,Regional Banks,Asia,China,China,,Ping Xia,http://www.forbes.com/companies/bank-of-jiangsu/,0.006434011,0.142747321,
Standard Life,14.772,21.276,0.9002,261.487,438,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Martin Gilbert,http://www.forbes.com/companies/standard-life/,0.003442619,0.042310585,
Applied Materials,57.62,15.463,2.866,19.663,439,Information Technology,Semiconductors,North America,United States,California,California,Gary Dickerson,http://www.forbes.com/companies/applied-materials/,0.145755988,0.185345664,
General Motors,51.994,144.421,-3.182,218.726,439,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Mary Barra,http://www.forbes.com/companies/general-motors/,-0.014547882,-0.022032807,
Mitsubishi Chemical,13.417,33.604,1.9106,44.199,441,Materials,Diversified Chemicals,Asia,Japan,Japan,,Yoshimitsu Kobayashi,http://www.forbes.com/companies/mitsubishi-chemical/,0.043227222,0.056856327,
Swedbank,25.271,6.681,2.3086,294.827,442,Financials,Major Banks,Europe,Sweden,Sweden,,Birgitte EMBA,http://www.forbes.com/companies/swedbank/,0.007830355,0.345547074,
Hyundai Mobis,20.989,30.666,1.1462,39.615,443,Consumer Discretionary,Auto & Truck Parts,Asia,South Korea,South Korea,,Mong-Koo Chung,http://www.forbes.com/companies/hyundai-mobis/,0.028933485,0.037376899,
Cisco Systems,221.269,48.096,-1.445,131.51,444,Information Technology,Communications Equipment,North America,United States,California,California,Chuck Robbins,http://www.forbes.com/companies/cisco-systems/,-0.010987758,-0.030044079,
Old Mutual,16.977,13.28,1.1397,219.147,445,Financials,Investment Services,Europe,United Kingdom,United Kingdom,,Bruce Hemphill,http://www.forbes.com/companies/old-mutual/,0.005200619,0.085820783,
TJX Cos,52.718,35.865,2.6079,14.058,445,Consumer Discretionary,Apparel/Footwear Retail,North America,United States,Massachusetts,Massachusetts,Ernie Herrman,http://www.forbes.com/companies/tjx-cos/,0.18551003,0.072714345,
Daikin Industries,36.015,20.667,1.7057,23.413,447,Materials,Construction Materials,Asia,Japan,Japan,,Masanori Togawa,http://www.forbes.com/companies/daikin-industries/,0.072852689,0.08253254,
Couche Tard,23.649,47.213,1.535,22.942,448,Consumer Staples,Food Retail,North America,Canada,Canada,,Brian Hannasch,http://www.forbes.com/companies/couche-tard/,0.066907855,0.032512232,
Kansai Electric Power,12.987,28.274,1.3704,65.68,449,Utilities,Electric Utilities,Asia,Japan,Japan,,Makoto Yagi,http://www.forbes.com/companies/kansai-electric-power/,0.020864799,0.048468558,
Poste Italiane,12.714,37.719,0.7771,243.366,450,Financials,Life & Health Insurance,Europe,Italy,Italy,,Matteo del Fante,http://www.forbes.com/companies/poste-italiane/,0.003193133,0.020602349,
ASML Holding,85.378,10.978,2.6925,22.93,451,Information Technology,Semiconductors,Europe,Netherlands,Netherlands,,Peter Wennink,http://www.forbes.com/companies/asml-holding/,0.11742259,0.245263254,
American International Group,47.443,50.275,-6.331,499.143,452,Financials,Diversified Insurance,North America,United States,New York,New York,Brian Duperreault,http://www.forbes.com/companies/american-international-group/,-0.01268374,-0.125927399,
Chinatrust Financial,14.359,14.558,1.2235,179.469,453,Financials,Regional Banks,Asia,Taiwan,Taiwan,,Wen Yen,http://www.forbes.com/companies/chinatrust-financial/,0.006817333,0.084043138,
Vodafone,75.957,48.206,-0.0198,173.874,454,Telecommunication Services,Telecommunications services,Europe,United Kingdom,United Kingdom,,Vittorio Colao,http://www.forbes.com/companies/vodafone/,-0.000113876,-0.000410737,
National Commercial Bank,35.349,5.951,2.6895,116.668,455,Financials,Regional Banks,Asia,Saudi Arabia,Saudi Arabia,,Saeed Mohammed,http://www.forbes.com/companies/national-commercial-bank/,0.023052594,0.45194085,
