year,rank,name,url,founded,street1,city,state,zip,revenue,% growth,Headcount,Industry,Revenue Raw
2017,4246,ShoppersChoice.com,shopperschoice.com,1/1/98,8151 Airline Hwy 8151 Airline Hwy,Baton Rouge,LA,70815,82.3 million,62,159,Retail,82288717
2017,2855,trustaff,trustaff.com,1/1/02,4675 Cornell Rd. Suite 100,Cincinnati,OH,45241,243.2 million,119,344,Human Resources,243188121
2017,3169,Cenero,cenero.com,1/1/99,2587 Yellow Springs Road ,Malvern,PA,19355,36 million,103,132,Business Products & Services,36042420
2017,4504,ipipeline,ipipeline.com,1/1/95,222 Valley Creek Boulevard 3rd Floor,Exton,PA,19341,93.8 million,55,450,Software,93795000
2017,2708,Bankers Healthcare Group,bankershealthcaregroup.com,1/1/01,10234 West State Road 84 ,Davie,FL,33324,149.3 million,128,327,Financial Services,149340615
2017,2718,eROI,eroi.com,1/1/02,"505 NW Couch St., #300 ",Portland,OR,97209,7.3 million,127,58,Advertising & Marketing,7338106
2017,4826,Liquid Technology,liquidtechnology.net,1/1/01,"140 58th St. , Bldg. B, Unit 8-C, Box # 33 ",Brooklyn,NY,11220,15.9 million,46,71,IT Services,15948939
2017,4606,LiquidHub,liquidhub.com,1/1/01,"500 E. Swedesford Road,, Suite 300 Suite 300",Wayne,PA,19087,173.9 million,52,2800,IT Services,173850448
2017,4643,Wireless World,wirelessworld.com,1/1/97,2802 W 41ST ST Suite B,Sioux Falls,SD,57105,100.5 million,51,308,Retail,100544000
2017,2575,ITS Infinity Trading,itsparts.com,1/1/02,450 E. Elliot Road ,Chandler,AZ,85225,34.7 million,137,54,Logistics & Transportation,34704234
2017,3899,ASP Global,aspglobal.com,1/1/03,3450 Atlanta Industrial Pkwy ,Atlanta,GA,30331,37.4 million,74,39,Software,37428200
2017,2078,Net Health,nethealth.com,1/1/99,40 24th Street 1st Floor,Pittsburgh,PA,15222,47 million,177,245,Health,46970283
