Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue
BHP Billiton,133.205,41.234,4.712,112.582,108,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Mark Hurd,http://www.forbes.com/companies/bhp-billiton/,0.0418539375743902,0.114274627734394
US Bancorp,84.587,24.063,6.391,460.119,109,Financials,Major Banks,North America,United States,Minnesota,Minnesota,Andrew Cecere,http://www.forbes.com/companies/us-bancorp/,0.0138898850080088,0.265594481153638
Zurich Insurance Group,48.025,64.092,3.0041,401.147,110,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Mario Greco,http://www.forbes.com/companies/zurich-insurance-group/,0.00748877593500637,0.046871684453598
Rio Tinto,99.306,40.002,8.7144,95.726,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Jean-Sébastien Jacques,http://www.forbes.com/companies/rio-tinto/,0.0910348285732194,0.217849107544623
Mitsubishi,46.356,68.278,5.0542,150.794,112,Industrials,Trading Companies,Asia,Japan,Japan,,Takehiko Kakiuchi,http://www.forbes.com/companies/mitsubishi/,0.0335172486968977,0.0740238436978236
UniCredit Group,47.782,29.007,6.137,1004.817,113,Financials,Regional Banks,Europe,Italy,Italy,,Jean-Pierre Mustier,http://www.forbes.com/companies/unicredit-group/,0.00610757978816043,0.211569621125935
Mizuho Financial,46.195,29.729,5.1242,1850.368,114,Financials,Major Banks,Asia,Japan,Japan,,Yasuhiro Sato,http://www.forbes.com/companies/mizuho-financial/,0.00276928697426674,0.172363685290457
EDF,42.957,78.54,2.9417,337.127,115,Utilities,Electric Utilities,Europe,France,France,,Jean-Bernard Lévy,http://www.forbes.com/companies/edf/,0.00872579176393466,0.0374548001018589
BBVA-Banco Bilbao Vizcaya,54.477,29.239,4.2771,843.01,116,Financials,Regional Banks,Europe,Spain,Spain,,Carlos Vila,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.00507360529531085,0.146280652553097
Sanofi,94.905,39.54,4.276,119.871,117,Health Care,Pharmaceuticals,Europe,France,France,,Olivier Brandicourt,http://www.forbes.com/companies/sanofi/,0.0356716803897523,0.108143651997977
Taiwan Semiconductor,203.024,33.064,11.5138,70.28,118,Information Technology,Semiconductors,Asia,Taiwan,Taiwan,,Te Liu,http://www.forbes.com/companies/taiwan-semiconductor/,0.163827546955037,0.348227679651585
American Express,87.258,37.648,3.096,179.956,119,Financials,Consumer Financial Services,North America,United States,New York,New York,Stephen Squeri,http://www.forbes.com/companies/american-express/,0.0172042054724488,0.0822354441138971
Saudi Basic Industries,91.839,41.896,4.9785,90.518,120,Materials,Diversified Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef Al-Benyan,http://www.forbes.com/companies/saudi-basic-industries/,0.0550001104752646,0.118829959900707
Home Depot,219.374,100.904,8.63,44.529,121,Consumer Discretionary,Home Improvement Retail,North America,United States,Georgia,Georgia,Mark Hurd,http://www.forbes.com/companies/home-depot/,0.193806283545555,0.0855268373899945
DowDuPont,155.33,80.578,1.661,192.441,122,Materials,Diversified Chemicals,North America,United States,Delaware,Delaware,Edward Breen,http://www.forbes.com/companies/dowdupont/,0.00863121684048617,0.0206135669785798
Telefónica,51.115,59.676,3.3995,141.157,123,Telecommunication Services,Telecommunications services,Europe,Spain,Spain,,José María López,http://www.forbes.com/companies/telefonica/,0.0240831131293524,0.0569659494604196
Walgreens Boots Alliance,63.556,124.028,4.134,70.816,124,Consumer Staples,Drug Retail,North America,United States,Illinois,Illinois,Stefano Pessina,http://www.forbes.com/companies/walgreens-boots-alliance/,0.0583766380478988,0.0333311832811946
National Australia Bank,58.172,25.578,4.1167,610.632,125,Financials,Major Banks,Australia,Australia,Australia,,Andrew Thorburn,http://www.forbes.com/companies/national-australia-bank/,0.00674170367750134,0.160946907498632
Kraft Heinz Company,72.224,26.172,11.099,120.787,126,Consumer Staples,Food Processing,North America,United States,Illinois,Illinois,Bernardo Hees,http://www.forbes.com/companies/kraft-heinz-company/,0.091889027792726,0.424079168577105
China Evergrande Group,41.97,46.035,3.5687,270.539,127,Financials,Real Estate,Asia,China,China,,Hai Xia,http://www.forbes.com/companies/china-evergrande-group/,0.0131910741150075,0.0775214510698382
Fiat Chrysler Automobiles,34.976,128.83,4.5225,117.608,128,Consumer Discretionary,Auto & Truck Manufacturers,Europe,United Kingdom,United Kingdom,,Sergio Marchionne,http://www.forbes.com/companies/fiat-chrysler-automobiles/,0.0384540167335555,0.0351044011488007
Anthem,59.219,90.114,4.1454,73.3,129,Health Care,Managed Health Care,North America,United States,Indiana,Indiana,Gail K. Boudreaux,http://www.forbes.com/companies/anthem/,0.0565538881309686,0.0460017311405553
Chubb,63.428,32.613,3.85,168.781,130,Financials,Property & Casualty Insurance,Europe,Switzerland,Switzerland,,Evan Greenberg,http://www.forbes.com/companies/chubb/,0.0228106244186253,0.118051083923589
China Shenhua Energy,64.62,36.431,6.709,91.177,131,Materials,Diversified Metals & Mining,Asia,China,China,,Wen Ling,http://www.forbes.com/companies/china-shenhua-energy/,0.073582153393948,0.184156350360956
Vale,77.407,34.094,4.614,94.388,132,Materials,Iron & Steel,South America,Brazil,Brazil,,Fábio Schvartsman,http://www.forbes.com/companies/vale/,0.0488833326270289,0.135331729923154
China Vanke,43.806,36.6,4.2335,194.585,133,Financials,Real Estate,Asia,China,China,,Jiu Zhu,http://www.forbes.com/companies/china-vanke/,0.0217565588303312,0.115669398907104
PNC Financial Services,70.88,18.475,5.488,379.161,134,Financials,Major Banks,North America,United States,Pennsylvania,Pennsylvania,William Demchak,http://www.forbes.com/companies/pnc-financial-services/,0.014474062469505,0.297050067658999
Renault,30.754,66.289,5.7683,132.02,135,Consumer Discretionary,Auto & Truck Manufacturers,Europe,France,France,,Hiroto Saikawa,http://www.forbes.com/companies/renault/,0.04369262232995,0.0870174538762087
